Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Metro Quadrado;Valor m2;Tipo Agregado
Apartamento;Tijuca;3;0;0;86;1500.0;690.0;83.0;7396;17.44;Apartamento
Apartamento;Ipanema;3;2;1;200;9500.0;3600.0;1500.0;40000;47.5;Apartamento
Apartamento;Grajaú;2;0;0;53;1200.0;270.0;17.0;2809;22.64;Apartamento
Casa;Jardim Botânico;4;2;4;387;25000.0;270.0;6661.0;149769;64.6;Casa
Casa;Anil;3;6;1;280;2800.0;0.0;190.0;78400;10.0;Casa
Apartamento;Copacabana;2;0;1;120;3800.0;1413.0;314.0;14400;31.67;Apartamento
Apartamento;Copacabana;4;1;2;270;13500.0;2800.0;0.0;72900;50.0;Apartamento
Apartamento;Ipanema;3;2;1;108;6000.0;2100.0;466.0;11664;55.56;Apartamento
Apartamento;Ipanema;3;2;1;220;9000.0;3600.0;1400.0;48400;40.91;Apartamento
Apartamento;Ipanema;1;0;1;46;1800.0;936.0;86.0;2116;39.13;Apartamento
Apartamento;Saúde;2;0;0;65;1300.0;468.0;30.0;4225;20.0;Apartamento
Apartamento;Ipanema;1;0;1;48;2100.0;540.0;81.0;2304;43.75;Apartamento
Apartamento;Flamengo;2;1;1;90;3000.0;1200.0;120.0;8100;33.33;Apartamento
