to_postcode,to_country_id
04623050,32
04623-071,32
04624080,32
04624-080,32
04624110,32
04632-020,32
04633-900,64
04635-041,32
04637042,32
04637-042,64
04638-070,32
04638-100,128
04639-050,32
04640001,32
04641000,32
04641-020,32
04641-080,32
04641090,32
04642000,32
04642-040,32
04648001,64
04648071,32
04648-240,64
04648270,32
04649-040,32
04650000,32
04650-140,32
04651-140,32
04651150,32
04651-150,64
04652150,32
04653170,96
04658-000,32
04660-000,32
04661100,32
04661-100,32
04661300,32
04661-300,96
04662002,32
04663060,32
04671-011,32
04671-070,32
04671071,32
04673040,32
04674110,32
04674150,32
04675100,32
04676100,32
04677040,32
04677-060,32
04679300,32
04685-001,96
04686-000,32
04691-040,32
04693-030,32
04693-130,288
04693180,64
04696270,32
04701000,32
04702-000,32
04704000,32
04705010,32
04705-010,128
04705070,32
04705080,64
04708-040,32
04709110,32
04710-001,64
04710090,64
04710120,32
04711060,32
04713-001,64
04715-005,32
04716-000,64
04716-003,32
04719-001,32
04720030,32
04721040,64
04722-040,32
04724-003,32
04725-010,32
04726-160,32
04726220,32
04726-220,96
04730-000,32
04734-001,64
04735001,32
04735003,32
04735-030,32
04736-030,32
04736040,32
04737030,32
04738900,32
04739-001,32
04739-040,32
04739060,32
04740000,64
04747030,64
04747-030,32
04747100,64
04750001,64
04750060,32
04755050,32
04757020,32
04770091,64
04775-170,32
04781000,32
04781-000,64
04786-050,64
04788-080,64
04802-200,32
04809-110,64
04812-060,32
04815260,64
04822060,32
04826-010,32
04826260,32
04829-260,32
04840-320,32
04844230,32
04844300,32
04849-032,32
04851103,32
04852-070,32
04853100,32
04863-310,64
04863-390,32
04883-030,32
04890-610,32
04911-000,32
04926-070,32
04930-160,32
04932-060,64
04940-020,32
04940050,32
04950007,64
05002-050,32
05004-000,128
05005-000,96
05005-001,128
05006000,192
05006-000,64
05006010,32
05006011,32
05007001,32
05007-001,64
05007050,32
05007-060,32
05008001,32
05009-000,96
05010-000,96
05010-040,32
05011001,64
05011040,160
05011-040,64
05012-000,64
05012010,32
05012-020,32
05013000,64
05013-000,32
05013001,32
05014000,32
05014002,32
05015000,128
05015001,32
05016000,32
05016010,32
05016-010,128
05016-080,32
05017000,64
05017-000,64
05017-020,96
05017040,64
05017-040,64
05018-000,32
05018001,160
05018-001,32
05018010,32
05018-010,32
05018-011,32
05019000,32
05019-000,32
05019-010,96
05020-000,32
05020-040,32
05021-001,64
05021-010,192
05023-000,32
05024000,64
05024-000,32
05025-000,32
